Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
,1746598318.763776,,,,,,,0,,,,9.162761017,,,
,1746598322.6848874,,,,,,,1,,,,13.083506567,,,
,1746598327.003757,,,,,,,2,,,,17.402384619,,,
,1746598330.905353,,,,,,,3,,,,21.303943072,,,
,1746598367.9809945,,,,,0.48688259720802307,,4,,,,58.379863409,0.1378384232521057,0.365628719329834,
,1746598373.8397949,,,,,,,5,,,,64.238475054,,,
,1746598377.9093661,,,,,,,6,,,,68.308103844,,,
,1746598382.4147131,,,,,,,7,,,,72.8134869,,,
,1746598386.0734591,,,,,,,8,,,,76.472017851,,,
262.0905799142429,1746598475.8238242,151.37598246053224,485.3354683185837,78.48571628647055,627.2955084940413,0.416619211435318,91.99798078118015,9,42.505745050900224,53.781788585807504,707.492679019102,166.222862346,0.09342961013317108,0.06083281710743904,525.0554307780083
,1746598481.5199006,,,,,,,10,,,,171.918538727,,,
,1746598485.1440432,,,,,,,11,,,,175.54273107,,,
,1746598488.8183966,,,,,,,12,,,,179.216978497,,,
,1746598492.565695,,,,,,,13,,,,182.964344048,,,
,1746598530.1125407,,,,,0.4786657989025116,,14,,,,220.511593938,0.04701638221740723,0.044775813817977905,
,1746598535.8111677,,,,,,,15,,,,226.209845528,,,
,1746598539.4846733,,,,,,,16,,,,229.883371168,,,
,1746598542.8310692,,,,,,,17,,,,233.229672753,,,
,1746598546.331106,,,,,,,18,,,,236.729778688,,,
